Name,Owner_login,Age,URL
freeCodeCamp,freeCodeCamp,3176,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,EbookFoundation,3616,https://github.com/EbookFoundation/free-programming-books
awesome,sindresorhus,3343,https://github.com/sindresorhus/awesome
996.ICU,996icu,1624,https://github.com/996icu/996.ICU
coding-interview-university,jwasham,2647,https://github.com/jwasham/coding-interview-university
public-apis,public-apis,2724,https://github.com/public-apis/public-apis
developer-roadmap,kamranahmedse,2365,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,donnemartin,2381,https://github.com/donnemartin/system-design-primer
build-your-own-x,codecrafters-io,1945,https://github.com/codecrafters-io/build-your-own-x
react,facebook,3755,https://github.com/facebook/react
vue,vuejs,3690,https://github.com/vuejs/vue
awesome-python,vinta,3356,https://github.com/vinta/awesome-python
tensorflow,tensorflow,2859,https://github.com/tensorflow/tensorflow
javascript-algorithms,trekhleb,1991,https://github.com/trekhleb/javascript-algorithms
You-Dont-Know-JS,getify,3580,https://github.com/getify/You-Dont-Know-JS
Python,TheAlgorithms,2607,https://github.com/TheAlgorithms/Python
CS-Notes,CyC2018,2029,https://github.com/CyC2018/CS-Notes
bootstrap,twbs,4420,https://github.com/twbs/bootstrap
ohmyzsh,ohmyzsh,5120,https://github.com/ohmyzsh/ohmyzsh
linux,torvalds,4383,https://github.com/torvalds/linux
flutter,flutter,3104,https://github.com/flutter/flutter
gitignore,github,4683,https://github.com/github/gitignore
vscode,microsoft,2923,https://github.com/microsoft/vscode
computer-science,ossu,3411,https://github.com/ossu/computer-science
Auto-GPT,Significant-Gravitas,173,https://github.com/Significant-Gravitas/Auto-GPT
awesome-selfhosted,awesome-selfhosted,3018,https://github.com/awesome-selfhosted/awesome-selfhosted
Python-100-Days,jackfrued,2013,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,jlevy,3029,https://github.com/jlevy/the-art-of-command-line
JavaGuide,Snailclimb,1947,https://github.com/Snailclimb/JavaGuide
javascript,airbnb,3959,https://github.com/airbnb/javascript
youtube-dl,ytdl-org,4691,https://github.com/ytdl-org/youtube-dl
fucking-algorithm,labuladong,1294,https://github.com/labuladong/fucking-algorithm
30-seconds-of-code,30-seconds,2105,https://github.com/30-seconds/30-seconds-of-code
project-based-learning,practical-tutorials,2337,https://github.com/practical-tutorials/project-based-learning
go,golang,3304,https://github.com/golang/go
react-native,facebook,3160,https://github.com/facebook/react-native
transformers,huggingface,1772,https://github.com/huggingface/transformers
next.js,vercel,2525,https://github.com/vercel/next.js
electron,electron,3798,https://github.com/electron/electron
awesome-go,avelino,3348,https://github.com/avelino/awesome-go
the-book-of-secret-knowledge,trimstray,1900,https://github.com/trimstray/the-book-of-secret-knowledge
d3,d3,4725,https://github.com/d3/d3
free-programming-books-zh_CN,justjavac,3592,https://github.com/justjavac/free-programming-books-zh_CN
axios,axios,3304,https://github.com/axios/axios
kubernetes,kubernetes,3377,https://github.com/kubernetes/kubernetes
stable-diffusion-webui,AUTOMATIC1111,379,https://github.com/AUTOMATIC1111/stable-diffusion-webui
create-react-app,facebook,2605,https://github.com/facebook/create-react-app
node,nodejs,3204,https://github.com/nodejs/node
PowerToys,microsoft,1587,https://github.com/microsoft/PowerToys
tech-interview-handbook,yangshun,2618,https://github.com/yangshun/tech-interview-handbook
three.js,mrdoob,4913,https://github.com/mrdoob/three.js
TypeScript,microsoft,3366,https://github.com/microsoft/TypeScript
nodebestpractices,goldbergyoni,2181,https://github.com/goldbergyoni/nodebestpractices
deno,denoland,1939,https://github.com/denoland/deno
scrcpy,Genymobile,2113,https://github.com/Genymobile/scrcpy
terminal,microsoft,2215,https://github.com/microsoft/terminal
angular,angular,3273,https://github.com/angular/angular
material-ui,mui,3304,https://github.com/mui/material-ui
awesome-chatgpt-prompts,f,274,https://github.com/f/awesome-chatgpt-prompts
ant-design,ant-design,3055,https://github.com/ant-design/ant-design
clean-code-javascript,ryanmcdermott,2474,https://github.com/ryanmcdermott/clean-code-javascript
rust,rust-lang,4828,https://github.com/rust-lang/rust
puppeteer,puppeteer,2309,https://github.com/puppeteer/puppeteer
vue-element-admin,PanJiaChen,2332,https://github.com/PanJiaChen/vue-element-admin
java-design-patterns,iluwatar,3313,https://github.com/iluwatar/java-design-patterns
storybook,storybookjs,2727,https://github.com/storybookjs/storybook
thefuck,nvbn,3071,https://github.com/nvbn/thefuck
animate.css,animate-css,4346,https://github.com/animate-css/animate.css
realworld,gothinkster,2747,https://github.com/gothinkster/realworld
papers-we-love,papers-we-love,3550,https://github.com/papers-we-love/papers-we-love
models,tensorflow,2769,https://github.com/tensorflow/models
Web-Dev-For-Beginners,microsoft,1029,https://github.com/microsoft/Web-Dev-For-Beginners
HelloGitHub,521xueweihan,2680,https://github.com/521xueweihan/HelloGitHub
laravel,laravel,4472,https://github.com/laravel/laravel
LeetCodeAnimation,MisterBooo,1734,https://github.com/MisterBooo/LeetCodeAnimation
django,django,4147,https://github.com/django/django
every-programmer-should-know,mtdvio,2203,https://github.com/mtdvio/every-programmer-should-know
free-for-dev,ripienaar,3092,https://github.com/ripienaar/free-for-dev
svelte,sveltejs,2479,https://github.com/sveltejs/svelte
FiraCode,tonsky,3219,https://github.com/tonsky/FiraCode
Font-Awesome,FortAwesome,4218,https://github.com/FortAwesome/Font-Awesome
tailwindcss,tailwindlabs,2159,https://github.com/tailwindlabs/tailwindcss
frp,fatedier,2814,https://github.com/fatedier/frp
advanced-java,doocs,1795,https://github.com/doocs/advanced-java
gin,gin-gonic,3367,https://github.com/gin-gonic/gin
bitcoin,bitcoin,4642,https://github.com/bitcoin/bitcoin
opencv,opencv,4065,https://github.com/opencv/opencv
pytorch,pytorch,2579,https://github.com/pytorch/pytorch
nvm,nvm-sh,4890,https://github.com/nvm-sh/nvm
mall,macrozheng,1980,https://github.com/macrozheng/mall
awesome-vue,vuejs,2877,https://github.com/vuejs/awesome-vue
spring-boot,spring-projects,3972,https://github.com/spring-projects/spring-boot
neovim,neovim,3504,https://github.com/neovim/neovim
hugo,gohugoio,3714,https://github.com/gohugoio/hugo
Awesome-Hacking,Hack-with-Github,2714,https://github.com/Hack-with-Github/Awesome-Hacking
json-server,typicode,3569,https://github.com/typicode/json-server
iptv,iptv-org,1755,https://github.com/iptv-org/iptv
tauri,tauri-apps,1515,https://github.com/tauri-apps/tauri
app-ideas,florinpop17,1652,https://github.com/florinpop17/app-ideas
moby,moby,3881,https://github.com/moby/moby
Front-End-Checklist,thedaviddias,2150,https://github.com/thedaviddias/Front-End-Checklist
GitHub-Chinese-Top-Charts,GrowingGit,1461,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
elasticsearch,elastic,4957,https://github.com/elastic/elasticsearch
netdata,netdata,3731,https://github.com/netdata/netdata
reveal.js,hakimel,4472,https://github.com/hakimel/reveal.js
flask,pallets,4900,https://github.com/pallets/flask
godot,godotengine,3530,https://github.com/godotengine/godot
swift,apple,2873,https://github.com/apple/swift
webpack,webpack,4196,https://github.com/webpack/webpack
awesome-mac,jaywcjlove,2605,https://github.com/jaywcjlove/awesome-mac
node,base-org,216,https://github.com/base-org/node
core,home-assistant,3640,https://github.com/home-assistant/core
fastapi,tiangolo,1732,https://github.com/tiangolo/fastapi
code-server,coder,1650,https://github.com/coder/code-server
express,expressjs,5183,https://github.com/expressjs/express
Chart.js,chartjs,3823,https://github.com/chartjs/Chart.js
redis,redis,5280,https://github.com/redis/redis
langchain,langchain-ai,323,https://github.com/langchain-ai/langchain
protobuf,protocolbuffers,3296,https://github.com/protocolbuffers/protobuf
mermaid,mermaid-js,3229,https://github.com/mermaid-js/mermaid
resume.github.com,resume,4594,https://github.com/resume/resume.github.com
clash_for_windows_pkg,Fndroid,1782,https://github.com/Fndroid/clash_for_windows_pkg
interviews,kdn251,2393,https://github.com/kdn251/interviews
awesome-machine-learning,josephmisiti,3338,https://github.com/josephmisiti/awesome-machine-learning
redux,reduxjs,3020,https://github.com/reduxjs/redux
the-algorithm,twitter,161,https://github.com/twitter/the-algorithm
stable-diffusion,CompVis,390,https://github.com/CompVis/stable-diffusion
atom,atom,4245,https://github.com/atom/atom
cs-video-courses,Developer-Y,2509,https://github.com/Developer-Y/cs-video-courses
nest,nestjs,2403,https://github.com/nestjs/nest
vite,vitejs,1232,https://github.com/vitejs/vite
markdown-here,adam-p,4132,https://github.com/adam-p/markdown-here
keras,keras-team,3083,https://github.com/keras-team/keras
angular.js,angular,4990,https://github.com/angular/angular.js
socket.io,socketio,4925,https://github.com/socketio/socket.io
github-readme-stats,anuraghazra,1153,https://github.com/anuraghazra/github-readme-stats
ansible,ansible,4199,https://github.com/ansible/ansible
architect-awesome,xingshaocheng,1978,https://github.com/xingshaocheng/architect-awesome
awesome-react,enaqx,3317,https://github.com/enaqx/awesome-react
Front-end-Developer-Interview-Questions,h5bp,4225,https://github.com/h5bp/Front-end-Developer-Interview-Questions
jquery,jquery,5267,https://github.com/jquery/jquery
devops-exercises,bregman-arie,1432,https://github.com/bregman-arie/devops-exercises
33-js-concepts,leonardomso,1827,https://github.com/leonardomso/33-js-concepts
nocode,kelseyhightower,2036,https://github.com/kelseyhightower/nocode
awesome-interview-questions,DopplerHQ,2838,https://github.com/DopplerHQ/awesome-interview-questions
lodash,lodash,4168,https://github.com/lodash/lodash
grafana,grafana,3554,https://github.com/grafana/grafana
shadowsocks-windows,shadowsocks,3886,https://github.com/shadowsocks/shadowsocks-windows
funNLP,fighting41love,1841,https://github.com/fighting41love/funNLP
supabase,supabase,1424,https://github.com/supabase/supabase
echarts,apache,3807,https://github.com/apache/echarts
awesome-for-beginners,MunGell,2872,https://github.com/MunGell/awesome-for-beginners
javascript-questions,lydiahallie,1546,https://github.com/lydiahallie/javascript-questions
strapi,strapi,2896,https://github.com/strapi/strapi
awesome-public-datasets,awesomedata,3211,https://github.com/awesomedata/awesome-public-datasets
HowToCook,Anduin2017,1284,https://github.com/Anduin2017/HowToCook
scikit-learn,scikit-learn,4767,https://github.com/scikit-learn/scikit-learn
cpython,python,2397,https://github.com/python/cpython
Apollo-11,chrislgarry,3441,https://github.com/chrislgarry/Apollo-11
yt-dlp,yt-dlp,1044,https://github.com/yt-dlp/yt-dlp
