Name,Owner_login,Accepted_PRs,URL
freeCodeCamp,freeCodeCamp,20478,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,EbookFoundation,5680,https://github.com/EbookFoundation/free-programming-books
awesome,sindresorhus,624,https://github.com/sindresorhus/awesome
996.ICU,996icu,1063,https://github.com/996icu/996.ICU
coding-interview-university,jwasham,372,https://github.com/jwasham/coding-interview-university
public-apis,public-apis,1871,https://github.com/public-apis/public-apis
developer-roadmap,kamranahmedse,1629,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,donnemartin,196,https://github.com/donnemartin/system-design-primer
build-your-own-x,codecrafters-io,121,https://github.com/codecrafters-io/build-your-own-x
react,facebook,9208,https://github.com/facebook/react
vue,vuejs,1119,https://github.com/vuejs/vue
awesome-python,vinta,535,https://github.com/vinta/awesome-python
tensorflow,tensorflow,16190,https://github.com/tensorflow/tensorflow
javascript-algorithms,trekhleb,282,https://github.com/trekhleb/javascript-algorithms
You-Dont-Know-JS,getify,360,https://github.com/getify/You-Dont-Know-JS
Python,TheAlgorithms,2335,https://github.com/TheAlgorithms/Python
CS-Notes,CyC2018,375,https://github.com/CyC2018/CS-Notes
bootstrap,twbs,8485,https://github.com/twbs/bootstrap
ohmyzsh,ohmyzsh,2935,https://github.com/ohmyzsh/ohmyzsh
linux,torvalds,9,https://github.com/torvalds/linux
flutter,flutter,32981,https://github.com/flutter/flutter
gitignore,github,1523,https://github.com/github/gitignore
vscode,microsoft,19426,https://github.com/microsoft/vscode
computer-science,ossu,240,https://github.com/ossu/computer-science
Auto-GPT,Significant-Gravitas,954,https://github.com/Significant-Gravitas/Auto-GPT
awesome-selfhosted,awesome-selfhosted,2395,https://github.com/awesome-selfhosted/awesome-selfhosted
Python-100-Days,jackfrued,12,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,jlevy,317,https://github.com/jlevy/the-art-of-command-line
JavaGuide,Snailclimb,887,https://github.com/Snailclimb/JavaGuide
javascript,airbnb,801,https://github.com/airbnb/javascript
youtube-dl,ytdl-org,1608,https://github.com/ytdl-org/youtube-dl
fucking-algorithm,labuladong,232,https://github.com/labuladong/fucking-algorithm
30-seconds-of-code,30-seconds,777,https://github.com/30-seconds/30-seconds-of-code
project-based-learning,practical-tutorials,182,https://github.com/practical-tutorials/project-based-learning
go,golang,1,https://github.com/golang/go
react-native,facebook,722,https://github.com/facebook/react-native
transformers,huggingface,10426,https://github.com/huggingface/transformers
next.js,vercel,13850,https://github.com/vercel/next.js
electron,electron,17910,https://github.com/electron/electron
awesome-go,avelino,3009,https://github.com/avelino/awesome-go
the-book-of-secret-knowledge,trimstray,122,https://github.com/trimstray/the-book-of-secret-knowledge
d3,d3,463,https://github.com/d3/d3
free-programming-books-zh_CN,justjavac,280,https://github.com/justjavac/free-programming-books-zh_CN
axios,axios,756,https://github.com/axios/axios
kubernetes,kubernetes,56187,https://github.com/kubernetes/kubernetes
stable-diffusion-webui,AUTOMATIC1111,1390,https://github.com/AUTOMATIC1111/stable-diffusion-webui
create-react-app,facebook,1944,https://github.com/facebook/create-react-app
node,nodejs,6719,https://github.com/nodejs/node
PowerToys,microsoft,4139,https://github.com/microsoft/PowerToys
tech-interview-handbook,yangshun,444,https://github.com/yangshun/tech-interview-handbook
three.js,mrdoob,11227,https://github.com/mrdoob/three.js
TypeScript,microsoft,13279,https://github.com/microsoft/TypeScript
nodebestpractices,goldbergyoni,761,https://github.com/goldbergyoni/nodebestpractices
deno,denoland,8966,https://github.com/denoland/deno
scrcpy,Genymobile,69,https://github.com/Genymobile/scrcpy
terminal,microsoft,3344,https://github.com/microsoft/terminal
angular,angular,3425,https://github.com/angular/angular
material-ui,mui,16290,https://github.com/mui/material-ui
awesome-chatgpt-prompts,f,105,https://github.com/f/awesome-chatgpt-prompts
ant-design,ant-design,11939,https://github.com/ant-design/ant-design
clean-code-javascript,ryanmcdermott,149,https://github.com/ryanmcdermott/clean-code-javascript
rust,rust-lang,49647,https://github.com/rust-lang/rust
puppeteer,puppeteer,3602,https://github.com/puppeteer/puppeteer
vue-element-admin,PanJiaChen,313,https://github.com/PanJiaChen/vue-element-admin
java-design-patterns,iluwatar,1123,https://github.com/iluwatar/java-design-patterns
storybook,storybookjs,8778,https://github.com/storybookjs/storybook
thefuck,nvbn,481,https://github.com/nvbn/thefuck
animate.css,animate-css,313,https://github.com/animate-css/animate.css
realworld,gothinkster,410,https://github.com/gothinkster/realworld
papers-we-love,papers-we-love,425,https://github.com/papers-we-love/papers-we-love
models,tensorflow,2304,https://github.com/tensorflow/models
Web-Dev-For-Beginners,microsoft,473,https://github.com/microsoft/Web-Dev-For-Beginners
HelloGitHub,521xueweihan,16,https://github.com/521xueweihan/HelloGitHub
laravel,laravel,1509,https://github.com/laravel/laravel
LeetCodeAnimation,MisterBooo,63,https://github.com/MisterBooo/LeetCodeAnimation
django,django,8367,https://github.com/django/django
every-programmer-should-know,mtdvio,98,https://github.com/mtdvio/every-programmer-should-know
free-for-dev,ripienaar,2267,https://github.com/ripienaar/free-for-dev
svelte,sveltejs,2900,https://github.com/sveltejs/svelte
FiraCode,tonsky,131,https://github.com/tonsky/FiraCode
Font-Awesome,FortAwesome,198,https://github.com/FortAwesome/Font-Awesome
tailwindcss,tailwindlabs,1833,https://github.com/tailwindlabs/tailwindcss
frp,fatedier,482,https://github.com/fatedier/frp
advanced-java,doocs,75,https://github.com/doocs/advanced-java
gin,gin-gonic,941,https://github.com/gin-gonic/gin
bitcoin,bitcoin,13237,https://github.com/bitcoin/bitcoin
opencv,opencv,11404,https://github.com/opencv/opencv
pytorch,pytorch,5443,https://github.com/pytorch/pytorch
nvm,nvm-sh,690,https://github.com/nvm-sh/nvm
mall,macrozheng,1,https://github.com/macrozheng/mall
awesome-vue,vuejs,3438,https://github.com/vuejs/awesome-vue
spring-boot,spring-projects,42,https://github.com/spring-projects/spring-boot
neovim,neovim,10648,https://github.com/neovim/neovim
hugo,gohugoio,2137,https://github.com/gohugoio/hugo
