Name,Owner_login,Age,URL
system-design-primer,donnemartin,2375,https://github.com/donnemartin/system-design-primer
react,facebook,3749,https://github.com/facebook/react
awesome-python,vinta,3350,https://github.com/vinta/awesome-python
javascript-algorithms,trekhleb,1985,https://github.com/trekhleb/javascript-algorithms
Python,TheAlgorithms,2601,https://github.com/TheAlgorithms/Python
ohmyzsh,ohmyzsh,5114,https://github.com/ohmyzsh/ohmyzsh
linux,torvalds,4377,https://github.com/torvalds/linux
flutter,flutter,3098,https://github.com/flutter/flutter
gitignore,github,4677,https://github.com/github/gitignore
awesome-selfhosted,awesome-selfhosted,3012,https://github.com/awesome-selfhosted/awesome-selfhosted
fucking-algorithm,labuladong,1288,https://github.com/labuladong/fucking-algorithm
transformers,huggingface,1766,https://github.com/huggingface/transformers
next.js,vercel,2519,https://github.com/vercel/next.js
d3,d3,4719,https://github.com/d3/d3
create-react-app,facebook,2600,https://github.com/facebook/create-react-app
stable-diffusion-webui,AUTOMATIC1111,373,https://github.com/AUTOMATIC1111/stable-diffusion-webui
node,nodejs,3198,https://github.com/nodejs/node
PowerToys,microsoft,1581,https://github.com/microsoft/PowerToys
three.js,mrdoob,4907,https://github.com/mrdoob/three.js
nodebestpractices,goldbergyoni,2175,https://github.com/goldbergyoni/nodebestpractices
deno,denoland,1933,https://github.com/denoland/deno
scrcpy,Genymobile,2107,https://github.com/Genymobile/scrcpy
material-ui,mui,3298,https://github.com/mui/material-ui
awesome-chatgpt-prompts,f,268,https://github.com/f/awesome-chatgpt-prompts
clean-code-javascript,ryanmcdermott,2468,https://github.com/ryanmcdermott/clean-code-javascript
rust,rust-lang,4822,https://github.com/rust-lang/rust
storybook,storybookjs,2721,https://github.com/storybookjs/storybook
thefuck,nvbn,3066,https://github.com/nvbn/thefuck
HelloGitHub,521xueweihan,2674,https://github.com/521xueweihan/HelloGitHub
django,django,4141,https://github.com/django/django
free-for-dev,ripienaar,3086,https://github.com/ripienaar/free-for-dev
svelte,sveltejs,2473,https://github.com/sveltejs/svelte
tailwindcss,tailwindlabs,2154,https://github.com/tailwindlabs/tailwindcss
advanced-java,doocs,1789,https://github.com/doocs/advanced-java
pytorch,pytorch,2573,https://github.com/pytorch/pytorch
mall,macrozheng,1974,https://github.com/macrozheng/mall
neovim,neovim,3498,https://github.com/neovim/neovim
tauri,tauri-apps,1509,https://github.com/tauri-apps/tauri
Front-End-Checklist,thedaviddias,2144,https://github.com/thedaviddias/Front-End-Checklist
reveal.js,hakimel,4466,https://github.com/hakimel/reveal.js
node,base-org,210,https://github.com/base-org/node
Chart.js,chartjs,3817,https://github.com/chartjs/Chart.js
protobuf,protocolbuffers,3290,https://github.com/protocolbuffers/protobuf
redux,reduxjs,3014,https://github.com/reduxjs/redux
markdown-here,adam-p,4126,https://github.com/adam-p/markdown-here
angular.js,angular,4984,https://github.com/angular/angular.js
33-js-concepts,leonardomso,1821,https://github.com/leonardomso/33-js-concepts
awesome-interview-questions,DopplerHQ,2832,https://github.com/DopplerHQ/awesome-interview-questions
shadowsocks-windows,shadowsocks,3880,https://github.com/shadowsocks/shadowsocks-windows
supabase,supabase,1418,https://github.com/supabase/supabase
awesome-for-beginners,MunGell,2866,https://github.com/MunGell/awesome-for-beginners
strapi,strapi,2891,https://github.com/strapi/strapi
gatsby,gatsbyjs,3022,https://github.com/gatsbyjs/gatsby
syncthing,syncthing,3564,https://github.com/syncthing/syncthing
excalidraw,excalidraw,1336,https://github.com/excalidraw/excalidraw
tesseract,tesseract-ocr,3304,https://github.com/tesseract-ocr/tesseract
awesome-nodejs,sindresorhus,3337,https://github.com/sindresorhus/awesome-nodejs
DeepLearning-500-questions,scutan90,1890,https://github.com/scutan90/DeepLearning-500-questions
Semantic-UI,Semantic-Org,3795,https://github.com/Semantic-Org/Semantic-UI
tabby,Eugeny,2441,https://github.com/Eugeny/tabby
requests,psf,4580,https://github.com/psf/requests
alacritty,alacritty,2750,https://github.com/alacritty/alacritty
guava,google,3379,https://github.com/google/guava
bulma,jgthms,2775,https://github.com/jgthms/bulma
nuxt,nuxt,2499,https://github.com/nuxt/nuxt
git,git,5516,https://github.com/git/git
v2rayN,2dust,1492,https://github.com/2dust/v2rayN
serverless,serverless,3053,https://github.com/serverless/serverless
chinese-poetry,chinese-poetry,2553,https://github.com/chinese-poetry/chinese-poetry
okhttp,square,4055,https://github.com/square/okhttp
mastodon,mastodon,2746,https://github.com/mastodon/mastodon
meteor,meteor,4241,https://github.com/meteor/meteor
pdf.js,mozilla,4509,https://github.com/mozilla/pdf.js
go-ethereum,ethereum,3534,https://github.com/ethereum/go-ethereum
julia,JuliaLang,4514,https://github.com/JuliaLang/julia
AdminLTE,ColorlibHQ,3535,https://github.com/ColorlibHQ/AdminLTE
parcel,parcel-bundler,2213,https://github.com/parcel-bundler/parcel
act,nektos,1700,https://github.com/nektos/act
drawio-desktop,jgraph,2287,https://github.com/jgraph/drawio-desktop
gpt-engineer,AntonOsika,123,https://github.com/AntonOsika/gpt-engineer
