nome,idade,estrelas,releases,url
jinatonic/confetti,2582,1291,2,https://github.com/jinatonic/confetti
psi-probe/psi-probe,3104,1291,39,https://github.com/psi-probe/psi-probe
ron190/jsql-injection,4075,1287,24,https://github.com/ron190/jsql-injection
Dsiner/UIUtil,2338,1286,0,https://github.com/Dsiner/UIUtil
mttkay/ignition,4450,1283,0,https://github.com/mttkay/ignition
vilyever/AndroidSocketClient,2921,1279,0,https://github.com/vilyever/AndroidSocketClient
jbangdev/jbang,1359,1278,201,https://github.com/jbangdev/jbang
DerekYRC/mini-spring-cloud,531,1273,0,https://github.com/DerekYRC/mini-spring-cloud
antoniolg/MaterializeYourApp,3162,1271,0,https://github.com/antoniolg/MaterializeYourApp
varunest/SparkButton,2623,1262,7,https://github.com/varunest/SparkButton
fusesource/mqtt-client,4289,1260,0,https://github.com/fusesource/mqtt-client
kongzue/DialogV3,1637,1259,0,https://github.com/kongzue/DialogV3
openrewrite/rewrite,1219,1258,185,https://github.com/openrewrite/rewrite
xamarin/XobotOS,4153,1246,0,https://github.com/xamarin/XobotOS
toddway/MaterialTransitions,3059,1239,0,https://github.com/toddway/MaterialTransitions
DSheirer/sdrtrunk,2942,1236,36,https://github.com/DSheirer/sdrtrunk
rnmods/react-native-document-picker,2634,1221,39,https://github.com/rnmods/react-native-document-picker
lopspower/CircularFillableLoaders,2834,1219,0,https://github.com/lopspower/CircularFillableLoaders
githubwing/ByeBurger,2505,1217,6,https://github.com/githubwing/ByeBurger
tumblr/Graywater,2318,1208,1,https://github.com/tumblr/Graywater
pedrovgs/Renderers,3485,1205,15,https://github.com/pedrovgs/Renderers
c0ny1/passive-scan-client,1498,1199,3,https://github.com/c0ny1/passive-scan-client
danylovolokh/LondonEyeLayoutManager,2834,1196,0,https://github.com/danylovolokh/LondonEyeLayoutManager
iammert/ExpandableLayout,2236,1195,6,https://github.com/iammert/ExpandableLayout
CNSRE/HTTPDNSLib,2982,1194,0,https://github.com/CNSRE/HTTPDNSLib
semicons/java_oci_manage,658,1194,63,https://github.com/semicons/java_oci_manage
klinker24/talon-for-twitter-android,2624,1193,4,https://github.com/klinker24/talon-for-twitter-android
liaohuqiu/cube-sdk,3536,1189,3,https://github.com/liaohuqiu/cube-sdk
ToDou/appbarlayout-spring-behavior,2527,1188,6,https://github.com/ToDou/appbarlayout-spring-behavior
smarques84/MockLocationDetector,2664,1177,0,https://github.com/smarques84/MockLocationDetector
Solartisan/WaveSideBar,2662,1176,0,https://github.com/Solartisan/WaveSideBar
glomadrian/material-animated-switch,3012,1175,0,https://github.com/glomadrian/material-animated-switch
andreasschrade/android-design-template,2830,1173,0,https://github.com/andreasschrade/android-design-template
NightscoutFoundation/xDrip,2547,1172,717,https://github.com/NightscoutFoundation/xDrip
shouzhong/Scanner,1445,1163,1,https://github.com/shouzhong/Scanner
jiahongfei/TodayStepCounter,2272,1162,0,https://github.com/jiahongfei/TodayStepCounter
Nepxion/DiscoveryGuide,1573,1157,0,https://github.com/Nepxion/DiscoveryGuide
itmuch/spring-cloud-docker-microservice-book-code,2425,1156,0,https://github.com/itmuch/spring-cloud-docker-microservice-book-code
thyrlian/AwesomeValidation,3196,1154,0,https://github.com/thyrlian/AwesomeValidation
jnr/jnr-ffi,4606,1146,0,https://github.com/jnr/jnr-ffi
kakajika/FragmentAnimations,2848,1139,0,https://github.com/kakajika/FragmentAnimations
johnnylambada/WorldMap,4174,1139,0,https://github.com/johnnylambada/WorldMap
florent37/HollyViewPager,2960,1139,0,https://github.com/florent37/HollyViewPager
wasabeef/Takt,2928,1136,0,https://github.com/wasabeef/Takt
sbugert/react-native-admob,2837,1133,11,https://github.com/sbugert/react-native-admob
danoz73/RecyclerViewFastScroller,3135,1131,1,https://github.com/danoz73/RecyclerViewFastScroller
banq/jdonframework,4547,1129,2,https://github.com/banq/jdonframework
getActivity/EasyHttp,1390,1128,28,https://github.com/getActivity/EasyHttp
Pugmatt/BedrockConnect,1567,1128,57,https://github.com/Pugmatt/BedrockConnect
jsquared21/Intro-to-Java-Programming,3027,1125,0,https://github.com/jsquared21/Intro-to-Java-Programming
richardwilly98/elasticsearch-river-mongodb,4245,1124,0,https://github.com/richardwilly98/elasticsearch-river-mongodb
fit2cloud/riskscanner,1059,1122,14,https://github.com/fit2cloud/riskscanner
googlearchive/android-ui-toolkit-demos,2745,1117,0,https://github.com/googlearchive/android-ui-toolkit-demos
javers/javers,3565,1117,1,https://github.com/javers/javers
chenssy89/jutils,2954,1115,0,https://github.com/chenssy89/jutils
jarlen/PhotoEdit,2591,1105,0,https://github.com/jarlen/PhotoEdit
