file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\commonsware\cwac\loaderex\SQLiteCursorLoader.java,com.commonsware.cwac.loaderex.SQLiteCursorLoader$UpdateTask,UpdateTask/1[com.commonsware.cwac.loaderex.SQLiteCursorLoader],true,119,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\commonsware\cwac\loaderex\SQLiteCursorLoader.java,com.commonsware.cwac.loaderex.SQLiteCursorLoader$UpdateTask,doInBackground/1[java.lang.Object[]],false,124,2,0,0,0,1,2,9,1,5,1,2,0,0,0,0,0,1,0,5,5,0,0,0,0,0,18,4,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,setOnTick/1[java.lang.Runnable],false,17,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,start/0,false,29,0,1,1,0,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,setInterval/1[long],false,21,0,1,1,0,2,0,8,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,9,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,stop/0,false,36,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,"LightweightTimer/2[java.lang.Runnable,long]",true,12,1,2,0,2,1,2,4,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\demo\src\com\devsmart\demo\HorizontalListViewDemo.java,com.devsmart.demo.HorizontalListViewDemo$Anonymous1$Anonymous2,onClick/1[com.devsmart.demo.View],false,38,2,0,0,0,1,3,6,0,1,1,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,6,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\demo\src\com\devsmart\demo\DemoActivity.java,com.devsmart.demo.DemoActivity,onCreate/1[com.devsmart.demo.Bundle],false,17,7,1,0,1,1,5,15,0,0,1,5,1,1,0,0,0,0,4,0,0,0,0,1,0,0,31,1,0,true
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\demo\src\com\devsmart\demo\DemoActivity.java,com.devsmart.demo.DemoActivity,"setupOnClick/2[com.devsmart.demo.Preference,com.devsmart.demo.Intent]",false,37,3,1,1,0,1,1,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,onBind/1[com.devsmart.android.Intent],false,29,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,onCreate/0,false,34,1,0,0,0,3,4,13,0,0,0,4,0,0,0,2,0,0,0,4,4,0,1,0,0,0,7,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,onDestroy/0,false,79,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,"isBetterLocation/2[com.devsmart.android.Location,com.devsmart.android.Location]",false,90,2,2,1,1,16,4,30,7,9,2,4,1,1,0,1,0,1,0,4,9,2,1,0,0,0,47,4,0,true
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,"isSameProvider/2[java.lang.String,java.lang.String]",false,133,0,1,1,0,2,1,6,2,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,13,2,0,true
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ServiceBinder.java,com.devsmart.android.ServiceBinder,"ServiceBinder/4[com.devsmart.android.Context,java.lang.Class<? extends com.devsmart.android.Service>,java.lang.Class<? extends com.devsmart.android.IInterface>,java.lang.Runnable]",true,25,2,0,0,0,1,1,8,0,1,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,1,0,false
