nome,idade,estrelas,releases,url,LCOM,LOC,CBO,DIT
GrowingGit/GitHub-Chinese-Top-Charts,1470,65317,0,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,0.0,5,0.0,1.0
TheAlgorithms/Java,2616,53536,0,https://github.com/TheAlgorithms/Java,1.0,30643,2.0,4.0
spring-projects/spring-framework,4663,53109,268,https://github.com/spring-projects/spring-framework,0.0,672925,3.0,70.0
square/retrofit,4755,41975,0,https://github.com/square/retrofit,0.0,26753,3.0,16.0
apache/dubbo,4104,39361,88,https://github.com/apache/dubbo,0.0,217162,4.0,7.0
jeecgboot/jeecg-boot,1753,35834,29,https://github.com/jeecgboot/jeecg-boot,0.0,36249,4.0,4.0
alibaba/druid,4333,27197,48,https://github.com/alibaba/druid,0.0,323086,4.0,32.0
apache/kafka,4413,25817,0,https://github.com/apache/kafka,0.0,488799,4.0,17.0
alibaba/fastjson,4333,25451,84,https://github.com/alibaba/fastjson,0.0,206496,1.0,15.0
termux/termux-app,2883,24583,89,https://github.com/termux/termux-app,0.0,24243,4.0,6.0
apache/skywalking,2868,22392,57,https://github.com/apache/skywalking,0.0,77095,4.0,7.0
apache/flink,3386,21946,0,https://github.com/apache/flink,0.0,1097368,4.0,61.0
jenkinsci/jenkins,4678,21412,287,https://github.com/jenkinsci/jenkins,0.0,176395,4.0,60.0
apache/rocketmq,2479,19790,15,https://github.com/apache/rocketmq,1.0,185856,3.0,11.0
mybatis/mybatis-3,3863,18901,40,https://github.com/mybatis/mybatis-3,0.0,54553,2.0,7.0
apache/shardingsphere,2796,18793,54,https://github.com/apache/shardingsphere,0.0,180537,4.0,9.0
keycloak/keycloak,3726,17358,41,https://github.com/keycloak/keycloak,1.0,487322,4.0,24.0
Tencent/tinker,2564,16875,54,https://github.com/Tencent/tinker,0.0,39518,3.0,53.0
android10/Android-CleanArchitecture,3313,15381,0,https://github.com/android10/Android-CleanArchitecture,1.0,2260,4.0,3.0
prestodb/presto,4053,15054,0,https://github.com/prestodb/presto,1.0,70769,6.0,25.0
zhisheng17/flink-learning,1717,13797,0,https://github.com/zhisheng17/flink-learning,0.0,13941,3.0,4.0
Curzibn/Luban,2608,13357,6,https://github.com/Curzibn/Luban,1.0,1088,1.0,2.0
Netflix/zuul,3836,12853,5,https://github.com/Netflix/zuul,1.0,19735,4.0,10.0
daimajia/AndroidViewAnimations,3370,12345,9,https://github.com/daimajia/AndroidViewAnimations,0.0,965,2.0,2.0
Netflix/eureka,4066,11979,147,https://github.com/Netflix/eureka,0.0,32744,4.0,9.0
pagehelper/Mybatis-PageHelper,3384,11826,12,https://github.com/pagehelper/Mybatis-PageHelper,0.0,7156,6.0,5.0
apache/zookeeper,5284,11542,0,https://github.com/apache/zookeeper,0.0,118331,3.0,96.0
zaproxy/zaproxy,3025,11229,334,https://github.com/zaproxy/zaproxy,1.0,180583,3.0,32.0
alibaba/vlayout,2390,10826,34,https://github.com/alibaba/vlayout,0.0,14042,3.0,7.0
clojure/clojure,4824,10121,0,https://github.com/clojure/clojure,0.0,44086,0.0,48.0
googlesamples/easypermissions,2823,9728,12,https://github.com/googlesamples/easypermissions,6.0,1705,8.0,3.0
hackware1993/MagicIndicator,2636,9541,12,https://github.com/hackware1993/MagicIndicator,3.0,4533,4.0,4.0
bilibili/DanmakuFlameMaster,3686,9464,5,https://github.com/bilibili/DanmakuFlameMaster,1.0,12879,3.0,14.0
jwtk/jjwt,3288,9303,0,https://github.com/jwtk/jjwt,0.0,14052,4.0,42.0
stanfordnlp/CoreNLP,3730,9159,14,https://github.com/stanfordnlp/CoreNLP,0.0,563204,3.0,46.0
debezium/debezium,2791,9046,0,https://github.com/debezium/debezium,1.0,154149,5.0,25.0
zhoutaoo/SpringCloud,2244,8301,0,https://github.com/zhoutaoo/SpringCloud,0.0,3091,5.0,5.0
apache/cassandra,5229,8194,0,https://github.com/apache/cassandra,1.0,542757,4.0,65.0
java-native-access/jna,4521,8001,0,https://github.com/java-native-access/jna,0.0,106424,3.0,124.0
sohutv/cachecloud,2788,7892,9,https://github.com/sohutv/cachecloud,0.0,48349,2.0,3.0
barteksc/AndroidPdfViewer,2659,7756,0,https://github.com/barteksc/AndroidPdfViewer,0.0,3328,1.0,4.0
opensearch-project/OpenSearch,957,7536,34,https://github.com/opensearch-project/OpenSearch,1.0,1060901,5.0,141.0
software-mansion/react-native-svg,2797,6935,97,https://github.com/software-mansion/react-native-svg,1.0,13668,4.0,80.0
gocd/gocd,3562,6894,76,https://github.com/gocd/gocd,0.0,276004,4.0,19.0
naman14/Timber,3016,6890,5,https://github.com/naman14/Timber,0.0,21859,3.0,8.0
frohoff/ysoserial,3151,6704,1,https://github.com/frohoff/ysoserial,1.0,3851,3.0,5.0
NanoHttpd/nanohttpd,4051,6677,3,https://github.com/NanoHttpd/nanohttpd,1.0,7106,3.0,16.0
zouzg/mybatis-generator-gui,2684,6529,16,https://github.com/zouzg/mybatis-generator-gui,3.0,3047,5.0,4.0
apache/storm,3600,6480,0,https://github.com/apache/storm,1.0,378339,3.0,30.0
beemdevelopment/Aegis,2585,6158,55,https://github.com/beemdevelopment/Aegis,1.0,20596,5.0,8.0
joelittlejohn/jsonschema2pojo,3735,6039,62,https://github.com/joelittlejohn/jsonschema2pojo,0.0,14400,5.0,4.0
JesusFreke/smali,4007,6019,0,https://github.com/JesusFreke/smali,1.0,46762,4.0,26.0
microg/GmsCore,3430,5934,30,https://github.com/microg/GmsCore,0.0,45266,4.0,14.0
weibocom/motan,2703,5857,24,https://github.com/weibocom/motan,1.0,40625,4.0,7.0
robolectric/robolectric,4765,5700,94,https://github.com/robolectric/robolectric,0.0,200335,4.0,24.0
emilsjolander/StickyListHeaders,4204,5518,16,https://github.com/emilsjolander/StickyListHeaders,0.0,2112,3.0,3.0
Genymobile/gnirehtet,2408,5393,12,https://github.com/Genymobile/gnirehtet,1.0,4330,2.0,3.0
Evernote/android-job,2946,5388,31,https://github.com/Evernote/android-job,1.0,10693,4.0,30.0
KeepSafe/TapTargetView,2559,5285,23,https://github.com/KeepSafe/TapTargetView,0.0,1948,2.0,3.0
LandGrey/SpringBootVulExploit,1212,5200,0,https://github.com/LandGrey/SpringBootVulExploit,0.0,258,3.0,1.0
AntennaPod/AntennaPod,4062,5122,50,https://github.com/AntennaPod/AntennaPod,1.0,47532,5.0,8.0
ElderDrivers/EdXposed,1700,5109,27,https://github.com/ElderDrivers/EdXposed,1.0,71794,4.0,13.0
dromara/lamp-cloud,2066,5096,0,https://github.com/dromara/lamp-cloud,0.0,9646,7.0,3.0
google/google-authenticator,3263,5075,0,https://github.com/google/google-authenticator,1.0,3935,2.0,9.0
wequick/Small,2848,5025,25,https://github.com/wequick/Small,0.0,7726,2.0,7.0
lingochamp/okdownload,2097,4995,8,https://github.com/lingochamp/okdownload,0.0,18986,4.0,6.0
yipianfengye/android-zxingLibrary,2606,4975,0,https://github.com/yipianfengye/android-zxingLibrary,0.0,2018,3.0,3.0
rubensousa/GravitySnapHelper,2570,4970,14,https://github.com/rubensousa/GravitySnapHelper,1.0,610,4.5,3.0
apache/hbase,3401,4963,35,https://github.com/apache/hbase,1.0,914790,5.0,106.0
apache/groovy,3073,4960,0,https://github.com/apache/groovy,1.0,192164,3.0,106.0
DingMouRen/LayoutManagerGroup,1965,4954,0,https://github.com/DingMouRen/LayoutManagerGroup,0.0,2285,3.0,3.0
CodingDocs/springboot-guide,1751,4923,0,https://github.com/CodingDocs/springboot-guide,0.0,1522,3.0,4.0
claritylab/lucida,3411,4813,0,https://github.com/claritylab/lucida,1.0,23221,4.0,5.0
spring-cloud/spring-cloud-netflix,3352,4778,6,https://github.com/spring-cloud/spring-cloud-netflix,0.0,7477,6.0,5.0
obsidiandynamics/kafdrop,1571,4767,45,https://github.com/obsidiandynamics/kafdrop,0.0,3986,3.0,4.0
Javen205/IJPay,2326,4757,24,https://github.com/Javen205/IJPay,0.0,13725,5.0,3.0
pardom-zz/ActiveAndroid,3955,4710,0,https://github.com/pardom-zz/ActiveAndroid,3.0,3158,3.0,7.0
nisrulz/android-tips-tricks,2575,4683,0,https://github.com/nisrulz/android-tips-tricks,0.0,22,1.0,1.0
reactive-streams/reactive-streams-jvm,3485,4682,0,https://github.com/reactive-streams/reactive-streams-jvm,0.0,15738,3.0,7.0
wdullaer/MaterialDateTimePicker,3175,4661,54,https://github.com/wdullaer/MaterialDateTimePicker,1.0,7536,5.0,3.0
orientechnologies/orientdb,3930,4633,203,https://github.com/orientechnologies/orientdb,1.0,478375,5.0,7.0
hansonwang99/Spring-Boot-In-Action,1690,4580,0,https://github.com/hansonwang99/Spring-Boot-In-Action,0.0,2714,3.0,4.0
go-lang-plugin-org/go-lang-idea-plugin,4764,4573,21,https://github.com/go-lang-plugin-org/go-lang-idea-plugin,3.0,45363,6.0,24.0
pili-engineering/PLDroidPlayer,3026,4565,42,https://github.com/pili-engineering/PLDroidPlayer,0.0,5878,1.0,3.0
Netflix/ribbon,3894,4468,41,https://github.com/Netflix/ribbon,0.0,21788,2.0,6.0
ZhongFuCheng3y/austin,677,4384,0,https://github.com/ZhongFuCheng3y/austin,0.0,5889,5.0,4.0
traccar/traccar,4168,4306,45,https://github.com/traccar/traccar,0.0,64908,4.0,5.0
201206030/novel,1403,4305,10,https://github.com/201206030/novel,0.0,4417,2.0,4.0
bingoogolapple/BGARefreshLayout-Android,3031,4299,4,https://github.com/bingoogolapple/BGARefreshLayout-Android,1.0,5450,3.0,4.0
objectbox/objectbox-java,2424,4242,38,https://github.com/objectbox/objectbox-java,0.0,21962,4.0,24.0
NekoX-Dev/NekoX,1260,4225,187,https://github.com/NekoX-Dev/NekoX,0.0,1103020,3.0,1520.0
oshi/oshi,4234,4123,143,https://github.com/oshi/oshi,1.0,31481,4.0,19.0
qstumn/BadgeView,2409,3993,5,https://github.com/qstumn/BadgeView,0.0,1759,2.0,3.0
oldmanpushcart/greys-anatomy,3948,3955,0,https://github.com/oldmanpushcart/greys-anatomy,0.0,10774,3.0,4.0
JoanZapata/android-iconify,3746,3918,0,https://github.com/JoanZapata/android-iconify,1.0,909,3.0,2.0
pqpo/SmartCropper,2233,3899,13,https://github.com/pqpo/SmartCropper,0.0,1004,3.0,2.0
bluelinelabs/Conductor,2738,3881,36,https://github.com/bluelinelabs/Conductor,0.0,5369,3.0,4.0
