file,class,method,variable,usage
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\ui\BaseActivity.java,me.storm.ninegag.ui.BaseActivity,initActionBar/0,view,2
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\ui\BaseActivity.java,me.storm.ninegag.ui.BaseActivity,executeRequest/1[me.storm.ninegag.ui.Request<?>],request,1
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\ui\BaseActivity.java,me.storm.ninegag.ui.BaseActivity,setTitle/1[int],resId,1
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\ui\BaseActivity.java,me.storm.ninegag.ui.BaseActivity,onOptionsItemSelected/1[me.storm.ninegag.ui.MenuItem],item,2
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\ui\BaseActivity.java,me.storm.ninegag.ui.BaseActivity,onCreate/1[me.storm.ninegag.ui.Bundle],savedInstanceState,1
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\ui\BaseActivity.java,me.storm.ninegag.ui.BaseActivity,setTitle/1[java.lang.CharSequence],text,1
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\extras\ShimmerAndroid\src\main\java\com\romainpiel\shimmer\ShimmerTextView.java,com.romainpiel.shimmer.ShimmerTextView,ShimmerTextView/1[com.romainpiel.shimmer.Context],context,1
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\extras\ShimmerAndroid\src\main\java\com\romainpiel\shimmer\ShimmerTextView.java,com.romainpiel.shimmer.ShimmerTextView,setAnimationSetupCallback/1[com.romainpiel.shimmer.ShimmerViewHelper.AnimationSetupCallback],callback,1
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\extras\ShimmerAndroid\src\main\java\com\romainpiel\shimmer\ShimmerTextView.java,com.romainpiel.shimmer.ShimmerTextView,"onSizeChanged/4[int,int,int,int]",oldw,1
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\extras\ShimmerAndroid\src\main\java\com\romainpiel\shimmer\ShimmerTextView.java,com.romainpiel.shimmer.ShimmerTextView,"onSizeChanged/4[int,int,int,int]",oldh,1
